2026-05-24T01:18:31.949Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:18:31.951Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:18:31.951Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:18:31.953Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial5","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:18:31.956Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-24T01:18:31.957Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: null
2026-05-24T01:18:31.958Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"opencode","version":"local"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-24T01:18:31.960Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"192.168.97.2","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"financial","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-24T01:18:31.971Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial5","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:18:31.971Z | connection_pool_created | {"host":"192.168.97.2","port":3306,"database":"financial","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-24T01:18:31.971Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
